s,p,o,type_s,type_o,scicheck_score,num_connections_train_subject,num_connections_train_object,freq_abstracts_subject,freq_abstracts_object,harmomic_mean_frequences,freq_abstracts_s&o,max_cos_sim,graph_emb_similarity,word_emb_similarity,label
sentiment_analysis,usesMethod,computational_model,Task,Method,0.9973104000091553,362,159,11049,10808,10927.171340989156,42,0.9093965223226311,0.32046625,0.21691454946994781,1
data_compression,usesMethod,wireless_networked_device,Task,Method,0.7723958492279053,596,384,6209,5,9.991953653041518,0,0.8776521628655994,0.18755127,0.1555856466293335,0
multiagent_system,usesTask,autonomous_underwater_vehicle_(_auv_),Method,Task,0.9989796876907349,367,59,2755,864,1315.457308648798,0,0.8675932511972129,0.26484972,0.15768812596797943,0
artificial_intelligence,usesTask,pattern_recognition_related_task,Method,Task,0.6619586944580078,419,13,45260,0,0.0,0,0.9509012428434251,0.43128937,0.4529300630092621,1
graphics_processing_unit,usesTask,image_fusion,Method,Task,0.8003724217414856,1534,235,106,5322,207.85998526160648,0,0.9033709892093176,0.23972484,0.37792572379112244,1
machine_learning,usesMaterial,dynamic_environment,Method,Material,0.8731196522712708,2675,72,87634,7888,14473.252067586525,972,0.7557987329844411,0.14769007,0.22913087904453278,1
graphics_processing_unit,usesMaterial,rule_base,Method,Material,0.5958449840545654,1534,39,106,10316,209.843791978507,0,0.751553666966748,-0.015646461,0.10961180180311203,0
multiagent_system,usesMaterial,domain_knowledge,Method,Material,0.8972453474998474,367,88,2755,7471,4025.5437121063956,0,0.767524067291975,0.24849412,0.2079964429140091,1
unscented_kalman_filter,usesTask,data_compression,Method,Task,0.8053537011146545,475,596,2129,6209,3170.775005996642,0,0.8138187472595446,0.20851305,-0.044438187032938004,0
game_theory,usesMethod,module_module,Method,Method,0.9475650787353516,233,1729,6944,85,167.9442310428226,0,0.7314106928071236,0.14470167,0.06998202204704285,0
neural_network,usesTask,learning_system_1,Method,Task,0.565285325050354,4935,20,256590,10,19.999220576773187,0,0.8646234691302375,0.27636266,0.501605212688446,0
deep_learning,usesTask,source_separation,Method,Task,0.7936214208602905,840,78,85872,3480,6688.928283642224,210,0.7493541164924972,0.344156,0.22373194992542267,0
decision_support_system,usesTask,anomaly_detection,Method,Task,0.6728086471557617,309,345,9004,12829,10581.44240370082,0,0.9015846979330697,0.4192387,0.27047568559646606,1
decision_support_system,usesTask,computational_intelligence,Method,Task,0.946733295917511,309,19,9004,2992,4491.491830610204,66,0.9999999999999999,0.3981591,0.306428462266922,1
sensor,usesMaterial,dialogue,Method,Material,0.5448271036148071,9208,70,509693,11215,21947.088526188887,137,0.709784701400217,-0.007262378,0.22772562503814697,0
deep_learning,usesTask,computer_vision_society,Method,Task,0.8850908875465393,840,6,85872,12,23.996646639653488,6,0.9089888270286924,0.44153428,0.36038535833358765,0
face_detection,usesMethod,machine_learning_technique_s,Task,Method,0.9990468621253967,282,428,6549,2,3.998778812395054,0,0.9289544234014229,0.27481085,0.37482908368110657,0
acquisition_device,usesMaterial,first_photograph_image,Method,Material,0.7589172720909119,835,26,17470,27,53.9166714293879,0,0.9281458060014298,0.2635284,0.1752389818429947,0
computational_efficiency,usesMethod,evolutionary_algorithm,Metric,Method,0.9666434526443481,735,634,10670,14296,12219.684370744211,177,0.916203577425925,0.32678986,0.3240722417831421,0
detection_monitoring_device,usesMethod,machine_learning,Method,Method,0.9639467597007751,793,2675,15,87634,29.994865885520657,0,0.8874271686408556,0.056272294,0.28115370869636536,0
deep_learning,usesTask,structural_health_monitoring,Method,Task,0.8255398869514465,840,40,85872,2635,5113.103370354887,80,0.8719145427135315,0.30840135,0.09676733613014221,1
gesture_1,usesTask,face_detection,Task,Task,0.9459589123725891,210,282,3,6549,5.997252747252747,0,0.8267342065069256,0.50001127,0.25009793043136597,0
face_detection,usesTask,text_detection,Task,Task,0.8162466883659363,282,26,6549,1580,2545.8039119202854,0,0.8573800060636406,0.5075382,0.5098292231559753,1
tracking_system,usesTask,autonomous_driving,Method,Task,0.837184488773346,306,45,3631,5764,4455.366471527408,0,0.8509226483655288,0.37716556,0.40296512842178345,0
tracking_system,usesMaterial,video_signal,Method,Material,0.8812392354011536,306,261,3631,10019,5330.254798534798,5,0.8260005744593869,0.13675275,0.357804536819458,1
deep_learning,usesMaterial,unstructured_data,Method,Material,0.5996115207672119,840,46,85872,3561,6838.41964375566,954,0.7635502553932061,0.17369689,0.24244415760040283,1
routing_protocol,usesMethod,evolutionary_algorithm,Method,Method,0.9402711987495422,1241,634,10947,14296,12399.34334270887,0,0.9164432036127806,0.23505796,0.21669581532478333,1
data_compression,usesMethod,communications_device,Task,Method,0.9729688763618469,596,582,6209,12,23.953705192091302,0,0.8207161876326874,0.21479096,0.2492714524269104,1
autonomous_vehicle,usesTask,motor,Task,Task,0.914336621761322,72,4572,12184,378081,23607.235616824466,103,0.8588011084580759,0.22926387,0.41714462637901306,1
machine_learning,usesMaterial,streaming_data,Method,Material,0.8661348223686218,2675,32,87634,828,1640.499920869978,225,1.0,0.17022663,0.26590341329574585,1
autonomous_vehicle,usesMaterial,vibration_signal,Task,Material,0.9309426546096802,72,146,12184,7021,8908.499244988285,0,0.719685611284031,-0.002258028,0.07590144872665405,1
image_analysis,usesMaterial,big_data,Task,Material,0.9854872226715088,223,635,16489,54549,25323.304738309074,196,0.8130638940517595,0.16678801,0.28327998518943787,0
autonomous_vehicle,usesMethod,robotic_arm,Task,Method,0.9544840455055237,72,122,12184,4644,6724.803422866651,0,0.8015443287329267,0.2812681,0.4398956000804901,1
face_detection,usesMaterial,e_book_document,Task,Material,0.5226587057113647,282,12,6549,1,1.9996946564885496,0,0.8267507406955497,-0.055329192,0.06877736747264862,0
face_detection,usesMaterial,camera_image,Task,Material,0.9916176199913025,282,430,6549,3849,4848.451817657242,26,0.9546873298667061,0.19434914,0.36080271005630493,1
wearable_technology,usesMaterial,hand_gesture,Method,Material,0.8132179975509644,341,111,1241,4588,1953.5796877680564,21,0.8657231239864542,0.27915785,0.30092495679855347,1
graphics_processing_unit,usesTask,image_analysis,Method,Task,0.8934119939804077,1534,223,106,16489,210.64585718589936,0,0.8893553755433318,0.27507287,0.41637057065963745,1
machine_learning,usesMaterial,natural_language_text,Method,Material,0.7643210291862488,2675,14,87634,1344,2647.3981433612803,376,0.8607414132200092,0.27532497,0.37928053736686707,1
face_detection,usesMethod,one,Task,Method,0.956419825553894,282,1010,6549,1688828,13047.404290609109,845,0.9178598924698597,0.18751757,0.18416829407215118,0
graphics_processing_unit,usesTask,character_recognition,Method,Task,0.6405665278434753,1534,186,106,7902,209.19380619380618,0,0.8509797625349764,0.3093984,0.2894524335861206,0
data_compression,usesTask,energy_constraint,Task,Task,0.998907744884491,596,23,6209,1970,2991.00868076782,6,0.8372251963985624,0.3561978,0.10216841101646423,1
acquisition_device,usesTask,logistics_management,Method,Task,0.8621952533721924,835,414,17470,1132,2126.227287388453,2,0.8493182270678333,0.31730324,0.17861202359199524,0
neural_network,usesMaterial,structured_set_of_data,Method,Material,0.6025713086128235,4935,42,256590,4,7.9998752893676395,0,0.8890176547597747,0.06060204,0.2193196415901184,1
face_detection,usesMethod,deep_learning_algorithm,Task,Method,0.9837431311607361,282,18,6549,4556,5373.659432687979,14,0.9482059269575713,0.27182892,0.23223976790905,1
multiagent_system,usesTask,computational_intelligence,Method,Task,0.9977571368217468,367,19,2755,2992,2868.6131894901687,0,0.8085751732588201,0.2814184,0.2817486524581909,0
packet_loss,usesMethod,game_theory,Metric,Method,0.8823126554489136,243,233,12990,6944,9050.121400622053,0,0.7807639846730642,0.24479564,0.2059946209192276,0
elliptic_curve,usesMethod,neural_network,Method,Method,0.9953306913375854,188,4935,4071,256590,8014.838353263434,0,0.7079325581101699,0.15329988,0.18020807206630707,0
forecasts_model,usesTask,sentiment_analysis,Method,Task,0.9944350123405457,157,362,0,11049,0.0,0,0.8608482116702256,0.41267475,0.26493263244628906,1
wearable_technology,usesTask,activity_recognition,Method,Task,0.9878054261207581,341,195,1241,6041,2059.0170282889317,364,1.0,0.40722474,0.34943506121635437,1
sensor,usesMethod,alarm_module_2,Method,Method,0.8142575025558472,9208,340,509693,5,9.999901902695322,8,0.9330978206023061,0.52971625,0.3989611864089966,0
artificial_intelligence,usesMaterial,library,Method,Material,0.9996668100357056,419,209,45260,80569,57960.45331362404,1972,0.7305637332183897,0.21165965,0.3168552815914154,0
touch_panel_panel,usesMethod,neural_network,OtherEntity,Method,0.9786930084228516,282,4935,5,256590,9.999805140396344,0,0.7636237008614671,-0.28850782,0.10750140249729156,0
sentiment_analysis,usesMaterial,tweet,Task,Material,0.9961686730384827,362,47,11049,10239,10628.589909808343,12920,1.0000000000000002,0.40695816,0.26331526041030884,1
multiagent_system,usesTask,tracking_control,Method,Task,0.9762789607048035,367,23,2755,1415,1869.7002398081536,13,0.8672618749260056,0.2584529,0.24630582332611084,0
wearable_technology,usesTask,light_reflection,Method,Task,0.9987932443618774,341,29,1241,834,997.584578313253,0,0.7514341238530883,0.30754834,0.11242812126874924,1
neural_network,usesMethod,shortest_path,Method,Method,0.8904933929443359,4935,242,256590,560,1117.5609566400933,18,0.9657951350507606,0.30050233,0.21189188957214355,0
action_recognition,usesMaterial,labeled_data,Task,Material,0.9867321848869324,125,94,6117,1902,2901.7418630751963,9,0.840594354865421,0.13083881,0.24215024709701538,1
data_compression,usesMaterial,flash,Task,Material,0.9926063418388367,596,346,6209,25572,9991.916428054497,246,0.7699507512079689,0.12650356,0.22153827548027039,1
pattern_recognition,usesMaterial,face_photo_image,Task,Material,0.5482422113418579,411,337,15873,8,15.991940054152762,1,0.9016958051011018,0.25684685,0.2764020562171936,1
estimation_method,usesTask,pattern_recognition,Method,Task,0.7280537486076355,599,411,18499,15873,17085.687594553707,20,0.8609967771526965,0.3755892,0.16555339097976685,0
multiagent_system,usesTask,estimation_measurement_problem,Method,Task,0.9670891165733337,367,46,2755,0,0.0,0,0.8356155470983345,0.28900108,0.1814907193183899,1
action_recognition,usesMethod,wireless_sensor_network,Task,Method,0.9765819907188416,125,4160,6117,49960,10899.488917024804,4,0.8743210646155974,0.077443145,0.12160002440214157,1
action_recognition,usesTask,image_retrieval,Task,Task,0.6586174964904785,125,415,6117,9752,7518.178083055013,0,0.8496754610620556,0.56466526,0.43923282623291016,1
neural_network,usesMethod,naive_bayes,Method,Method,0.7664901614189148,4935,226,256590,9894,19053.31246904129,8944,0.8480096407672554,0.6043125,0.2372155487537384,0
tracking_system,usesTask,intelligent_control,Method,Task,0.9770512580871582,306,626,3631,20863,6185.478321221523,36,0.8649377216463703,0.4671849,0.38616877794265747,1
evolutionary_algorithm,usesTask,data_mining_and_related_task,Method,Task,0.943716287612915,634,36,14296,1,1.999860110512695,0,0.9761379783201892,0.25376365,0.32231855392456055,1
machine_learning,usesTask,data_mining,Method,Task,0.9939510226249695,2675,1291,87634,36465,51500.39581302025,69345,1.0000000000000002,0.65470684,0.7203975915908813,1
evolutionary_algorithm,usesTask,shortterm_load_forecasting,Method,Task,0.8863053917884827,634,16,14296,3,5.998741170711239,0,0.9371740032496976,0.4207414,0.15146592259407043,0
evolutionary_algorithm,usesMaterial,knowledge_base,Method,Material,0.9545702934265137,634,277,14296,18952,16297.990375360923,0,0.8915012872010566,0.15823723,0.16625070571899414,1
tracking_system,usesMethod,image_acquisition_unit,Method,Method,0.9970724582672119,306,121,3631,3300,3457.5963064492857,0,0.8728271578021831,0.4266703,0.3373335301876068,1
autonomous_vehicle,usesMaterial,wireless_medium,Task,Material,0.9963439702987671,72,19,12184,1840,3197.1705647461495,0,0.8619525827472372,2.5333884e-05,0.10406973212957382,1
wearable_technology,usesTask,computer_vision,Method,Task,0.9646292328834534,341,1259,1241,37259,2401.9957922077924,36,0.8355606520428047,0.25256622,0.30598974227905273,1
graphics_processing_unit,usesMaterial,color_image,Method,Material,0.9659808278083801,1534,451,106,10216,209.82290253826778,0,0.8529618981746051,0.06213047,0.3559103012084961,1
artificial_intelligence,usesMaterial,facial_expression,Method,Material,0.8321974277496338,419,172,45260,9461,15650.47641673215,600,0.8031667262074149,0.20696001,0.3358832895755768,1
deep_learning,usesMaterial,electricity,Method,Material,0.7944452166557312,840,972,85872,74134,79572.45163306376,1536,0.8057099034716714,-0.10941762,0.17537027597427368,0
neural_network,usesTask,autonomous_system,Method,Task,0.6599867939949036,4935,42,256590,4328,8512.417847752933,182,0.8687020405245867,0.17719825,0.4096693694591522,1
recommendation_methodology,usesTask,sentiment_analysis,Method,Task,0.9715266227722168,73,362,33,11049,65.80346507850568,0,0.9400328416174298,0.40992457,0.2235681414604187,1
game_theory,usesMaterial,data_centre,Method,Material,0.9782842397689819,233,175,6944,1517,2490.0243470039004,1,0.6619303553500141,0.20008208,0.09399866312742233,0
cross_beam_a,usesMethod,sensor,OtherEntity,Method,0.9994090795516968,188,9208,2793,509693,5555.556830820744,420,0.8017167801803067,0.13680291,0.1866990178823471,0
face_detection,usesMaterial,web_page,Task,Material,0.7200606465339661,282,395,6549,16537,9382.38005717751,0,0.8299190057436694,0.050169706,0.17207999527454376,1
graphics_processing_unit,usesMaterial,domain_knowledge,Method,Material,0.8190635442733765,1534,88,106,7471,209.03418239408737,0,0.7600683260336445,0.06344787,0.17003284394741058,1
web_server,usesMethod,evolutionary_algorithm,Method,Method,0.7087745070457458,6093,634,10614,14296,12182.87788036933,6,0.7749456313924652,-0.013584577,0.1409822255373001,0
deep_learning,usesMaterial,facial_image_image,Method,Material,0.9284451603889465,840,156,85872,2,3.9999068402543263,0,0.9175343815071977,0.1693599,0.31872814893722534,1
storage_system_device,usesMethod,tracking_system,Method,Method,0.957089900970459,1456,306,29,3631,57.54043715846994,0,0.9048964181797384,0.25553635,0.37129995226860046,0
game_theory,usesTask,channel_state_information,Method,Task,0.9999085664749146,233,355,6944,13467,9163.181421782372,0,0.793011543376634,0.3380759,0.1925954967737198,1
pattern_recognition,usesTask,change_detection,Task,Task,0.759792149066925,411,120,15873,4838,7415.728260344745,0,0.919892388824366,0.5000956,0.40623366832733154,1
data_compression,usesMethod,processing_device_system,Task,Method,0.9750046133995056,596,246,6209,113,221.9604555520405,0,0.8739344333580037,0.19004974,0.3076513409614563,0
machine_learning,usesTask,event_detection_event,Method,Task,0.633087694644928,2675,32,87634,1,1.9999771780681235,0,0.8122893066517821,0.36316347,0.4250251054763794,0
acquisition_device,usesTask,positioning_information,Method,Task,0.7468909621238708,835,106,17470,1963,3529.4200586630986,11,0.8440165563518829,0.4515971,0.2872648537158966,1
target_tracking,usesTask,action_recognition,Task,Task,0.9967299699783325,235,125,3976,6117,4819.417814326761,1,0.9041630255967364,0.48621795,0.3428146541118622,1
evolutionary_algorithm,usesTask,pre_processing_step,Method,Task,0.8878311514854431,634,49,14296,8,15.991051454138702,0,0.8012815147823996,0.22208826,0.173330157995224,1
outer_wall,usesMethod,graphics_processing_unit,OtherEntity,Method,0.5569404363632202,166,1534,23355,106,211.04215506585396,0,0.7122893587258334,-0.19402596,0.15629994869232178,0
control_based_scheme,usesTask,autonomous_vehicle,Method,Task,0.7112376689910889,173,72,0,12184,0.0,0,0.8258715588398784,0.21740684,0.19152405858039856,0
user_preferences_concept,usesMethod,multiagent_system,OtherEntity,Method,0.9735151529312134,193,367,0,2755,0.0,0,0.7960634708393133,0.19134314,0.14306266605854034,0
action_recognition,usesMethod,statistical_method,Task,Method,0.5212847590446472,125,216,6117,8443,7094.207554945055,0,0.8731738336552772,0.36898378,0.19934812188148499,1
deep_learning,usesTask,image_quality_assessment,Method,Task,0.8455087542533875,840,40,85872,2439,4743.2779155484595,594,0.8419950658030673,0.48009855,0.2703894376754761,1
decision_support_system,usesMaterial,personal_computer,Method,Material,0.8013052940368652,309,60,9004,15405,11365.20299889385,0,0.7985636841261051,-0.025443299,0.1953870803117752,0
spectral_efficiency,usesMethod,machine_learning,Metric,Method,0.9770703315734863,310,2675,9874,87634,17748.248677031628,0,0.7670331697682223,0.032653607,0.20910871028900146,1
artificial_intelligence,usesTask,control_issue,Method,Task,0.7076165080070496,419,92,45260,602,1188.1958920238978,10,0.8243672958239578,0.3575567,0.19159972667694092,0
image_analysis,usesMaterial,facial_image_image,Task,Material,0.9741940498352051,223,156,16489,2,3.9995148869080106,0,0.8539253821170125,0.25837657,0.5691245794296265,1
segmentationing_method,usesTask,face_detection,Method,Task,0.9762003421783447,444,282,1,6549,1.9996946564885496,0,0.8647259611248396,0.4620185,0.4174415171146393,0
deep_learning,usesMethod,deep_learning_based_approach,Method,Method,0.9808350205421448,840,27,85872,0,0.0,0,0.932320555865664,0.62229496,0.7173707485198975,1
acquisition_device,usesMaterial,equipment,Method,Material,0.9656159281730652,835,299,17470,559385,33881.84535108476,2084,0.8673474051024239,0.40907905,0.5808855295181274,1
graphics_processing_unit,usesMethod,matching_algorithm,Method,Method,0.9647281169891357,1534,134,106,2439,203.17013752455796,0,0.9722662987517597,0.36758173,0.20565538108348846,0
tracking_system,usesMaterial,reference_image,Method,Material,0.6710959076881409,306,146,3631,7478,4888.400036006841,5,0.8831197037248901,0.20589432,0.15723450481891632,1
neural_network,usesTask,nlp_task,Method,Task,0.8408876657485962,4935,59,256590,1938,3846.944392870405,1624,1.0,0.3895633,0.31392499804496765,0
evolutionary_algorithm,usesTask,ontology_matching,Method,Task,0.9700694680213928,634,42,14296,333,650.8398386766013,4,0.7718609014360178,0.31414714,0.15615910291671753,1
tracking_system,usesMaterial,stereo_camera,Method,Material,0.9931257367134094,306,50,3631,2336,2842.9750293279703,65,0.8826663320444719,0.25287032,0.3721778690814972,1
decision_support_system,usesTask,outlier_detection,Method,Task,0.8272050619125366,309,232,9004,3190,4710.966048876497,0,0.8904287458118346,0.444332,0.24808044731616974,1
game_theory,usesTask,demand_response,Method,Task,0.9565594792366028,233,78,6944,5017,5825.273472117716,252,0.7597911855889529,0.3859705,0.19019731879234314,1
speech_recognition,usesTask,image_analysis,Task,Task,0.6297841668128967,538,223,18567,16489,17466.41162711091,39,0.824375755058689,0.54558223,0.3905426561832428,0
moving_mechanism_move,usesMethod,machine_learning,OtherEntity,Method,0.5216361284255981,124,2675,10,87634,19.997718041166536,0,0.7184974024379008,-0.12541868,0.10813385248184204,1
sensor,usesTask,image_acquisition,Method,Task,0.9502066373825073,9208,704,509693,24721,47154.904822852695,19756,0.9043953831798803,0.41946504,0.38564494252204895,1
game_theory,usesTask,embedded_system,Method,Task,0.8964027762413025,233,842,6944,12700,8978.70087558542,0,0.8153323068736291,0.19701532,0.05089428648352623,1
action_recognition,usesMaterial,training_datasets,Task,Material,0.9868481755256653,125,4,6117,794,1405.5557806395602,2,0.8835102976189528,-0.024991816,0.3597508370876312,1
artificial_intelligence,usesMethod,clustering_method,Method,Method,0.9571792483329773,419,593,45260,4868,8790.523459942548,48,0.9350108999373984,0.4315163,0.2839828431606293,1
deep_learning,usesMethod,classification_algorithm,Method,Method,0.9808283448219299,840,286,85872,12676,22091.031213215894,1404,0.9247416165563996,0.5485116,0.3999428153038025,1
sensor,usesMaterial,digital_image,Method,Material,0.9807236194610596,9208,373,509693,17151,33185.324851379155,7931,0.9741779126567032,-0.0005022289,0.384155809879303,1
wearable_technology,usesMaterial,keyboard,Method,Material,0.9750106930732727,341,616,1241,27116,2373.379130373453,12,0.8480446536016502,0.20164497,0.33182284235954285,1
autonomous_vehicle,usesTask,traffic_congestion,Task,Task,0.8731651306152344,72,69,12184,5642,7712.569056434421,528,0.8185043481363641,0.48152608,0.27236127853393555,0
target_detection,usesTask,pattern_recognition,Task,Task,0.7154716849327087,189,411,11145,15873,13095.31312458361,84,0.9427266382415022,0.52423364,0.47791674733161926,1
deep_learning,usesMaterial,cellular,Method,Material,0.5471153259277344,840,535,85872,46455,60292.81643202068,4116,0.7765201125938366,0.07422775,0.26057252287864685,0
data_compression,usesMethod,module_module,Task,Method,0.9882986545562744,596,1729,6209,85,167.70416269462982,0,0.8970254117390031,0.20207301,0.09601987153291702,0
action_recognition,usesMethod,language_model,Task,Method,0.9957616925239563,125,236,6117,11591,8007.922633837813,0,0.8130616855715055,0.29175928,0.22721590101718903,0
action_recognition,usesTask,edge_detection,Task,Task,0.9275332689285278,125,371,6117,7915,6900.806014823261,0,0.8987513419486767,0.4984716,0.3599037826061249,1
pattern_recognition,usesMethod,image_acquisition_device,Task,Method,0.985247015953064,411,105,15873,5050,7662.252067103188,0,0.8191511472371457,0.22401045,0.3223710060119629,1
apparatus_1,usesTask,data_compression,Method,Task,0.9178933501243591,4999,596,2631,6209,3695.9002262443437,24,0.9265119577080011,0.3083044,0.1036592647433281,0
image_display,usesMethod,graphics_processing_unit,Task,Method,0.8605425953865051,399,1534,14836,106,210.4960513987418,0,0.9041511075451321,0.16799372,0.4187503457069397,1
machine_learning,usesMaterial,eeg_communication_signal,Method,Material,0.8134410381317139,2675,142,87634,1,1.9999771780681235,0,0.9589220178406951,0.1758968,0.08865004032850266,0
evolutionary_algorithm,usesTask,calculating_processing_time,Method,Task,0.9955360293388367,634,13,14296,0,0.0,0,0.7894181591747668,0.30953327,0.22933471202850342,0
evolutionary_algorithm,usesTask,data_analytics,Method,Task,0.9224897623062134,634,447,14296,10780,12291.504227149466,11,0.9109283415436863,0.2589396,0.2840045988559723,1
tracking_system,usesMethod,broadcast,Method,Method,0.9908925294876099,306,1301,3631,57804,6832.793163506145,36,0.7746215992904821,0.2558867,0.2578415274620056,0
acquisition_device,usesMaterial,image_signal,Method,Material,0.8914697766304016,835,189,17470,8475,11413.239545191751,264,0.900818533391441,0.40137812,0.35004788637161255,1
graphics_processing_unit,usesTask,motion_estimation,Method,Task,0.8587727546691895,1534,181,106,5155,207.7285687131724,0,0.8443183439957316,0.38425687,0.2850739061832428,1
face_detection,usesMaterial,stereo_camera,Task,Material,0.7425816059112549,282,50,6549,2336,3443.6610016882387,2,0.8578179230054643,0.21178046,0.27067509293556213,0
electronic_device_equipment,usesMethod,artificial_intelligence,Method,Method,0.7681905031204224,606,419,20,45260,39.98233215547703,5,0.7908736058232404,0.24958648,0.2494703084230423,0
image_analysis,usesMaterial,ultrasound_image,Task,Material,0.9998618364334106,223,61,16489,4323,6850.081395348837,585,0.8676012101771473,0.22869815,0.453250914812088,1
user_experience,usesMethod,neural_network,Metric,Method,0.9988787770271301,815,4935,62710,256590,100787.7162543063,692,0.84865488859292,-0.009317741,0.2299659103155136,0
radial_basis_function,usesMethod,graphics_processing_unit,Method,Method,0.9559543132781982,219,1534,6651,106,208.67426372650584,0,0.8399100912626168,0.27522287,0.1573023498058319,1
graphics_processing_unit,usesMethod,gaussian_mixture_model,Method,Method,0.9192010760307312,1534,190,106,6976,208.8268850607173,0,0.7837269716149406,0.22108305,0.14489910006523132,1
machine_learning,usesMaterial,massive_volume_of_data,Method,Material,0.6174824237823486,2675,13,87634,248,494.60030495437064,60,0.9229437017355122,0.29751614,0.2665453553199768,1
wearable_technology,usesMethod,wireless_transceiver,Method,Method,0.9993459582328796,341,146,1241,4298,1925.9137028344467,0,0.9203557136790672,0.436303,0.3550122380256653,1
pattern_recognition,usesMaterial,ct_image,Task,Material,0.785788357257843,411,50,15873,7284,9985.657209483094,0,0.769273067569431,0.13104673,0.1922430694103241,1
graphics_processing_unit,usesTask,image_acquisition,Method,Task,0.81941819190979,1534,704,106,24721,211.09485640633181,0,0.8911274652134485,0.16350392,0.4384218156337738,0
efficiency,usesMethod,multiagent_system,Metric,Method,0.8779017925262451,178,367,783840,2755,5490.701568151336,0,0.8349337750331035,0.082766116,0.18905635178089142,0
data_compression,usesMaterial,telephone,Task,Material,0.5106331706047058,596,239,6209,16121,8965.095297805643,8,0.8031896972291666,0.11465128,0.16321112215518951,0
lighting_device,usesMethod,tracking_system,Method,Method,0.8927210569381714,191,306,6065,3631,4542.4948432343235,0,0.8395281368144898,0.3428569,0.2926533818244934,1
web_server,usesMethod,deep_learning,Method,Method,0.9584401249885559,6093,840,10614,85872,18892.801193955598,495,0.8166820096791182,0.062657826,0.224675253033638,1
machine_learning,usesMaterial,hand_gesture,Method,Material,0.8430187106132507,2675,111,87634,4588,8719.498427707054,348,1.0,0.27026886,0.2859747111797333,0
sensor,usesTask,validation,Method,Task,0.8015125393867493,9208,642,509693,69530,122367.22053509616,39026,1.0000000000000002,0.23046556,0.2639789283275604,1
pattern_recognition,usesMaterial,human_motion,Task,Material,0.5813841223716736,411,14,15873,4039,6439.438228204098,62,0.7617371206267581,0.114484824,0.264688640832901,0
classification_method_approach,usesMethod,decision_support_system,Method,Method,0.9998205304145813,660,309,3,9004,5.99800155434662,0,0.8908372099934023,0.38282344,0.3879242241382599,1
image_analysis,usesMethod,control_circuit,Task,Method,0.6312800049781799,223,2542,16489,62116,26060.19271038738,0,0.8311711309726537,-0.038093217,0.0968853086233139,0
sentiment_analysis,usesTask,information_extraction,Task,Task,0.9719759821891785,362,180,11049,9248,10068.596541360792,231,0.9254807484733001,0.5822487,0.3813815116882324,1
neural_network,usesMaterial,expert_knowledge,Method,Material,0.9034690856933594,4935,54,256590,4164,8195.00954923031,2046,0.865379637152379,0.27041999,0.3894915282726288,1
v2v,usesTask,autonomous_vehicle,Method,Task,0.8173267245292664,188,72,3045,12184,4872.319915949833,0,0.7701380196930332,0.2734652,0.28928178548812866,1
multiagent_system,usesMethod,unmanned_aircraft_system,Method,Method,0.9699876308441162,367,772,2755,683,1094.6276905177428,0,0.8247996236774104,0.19534716,0.3515007197856903,0
wearable_technology,usesTask,smart_home,Method,Task,0.9535461068153381,341,101,1241,12683,2260.7875610456767,16,0.7775116971340811,0.3315313,0.3767538070678711,0
